Date,Views,Watch time (hours),Average view duration
Total,18152,1793.5835,0:05:55
2021-04-21,34,3.055,0:05:23
2021-04-20,48,4.5558,0:05:41
2021-04-19,85,5.2411,0:03:41
2021-04-18,15,1.0217,0:04:05
2021-04-17,14,0.9219,0:03:57
2021-04-16,30,2.5962,0:05:11
2021-04-15,35,2.3344,0:04:00
2021-04-14,38,1.6314,0:02:34
2021-04-13,57,6.1176,0:06:26
2021-04-12,49,2.403,0:02:56
2021-04-11,36,3.0188,0:05:01
2021-04-10,39,2.2123,0:03:24
2021-04-09,73,3.9086,0:03:12
2021-04-08,58,3.4316,0:03:32
2021-04-07,65,3.2915,0:03:02
2021-04-06,131,7.1245,0:03:15
2021-04-05,77,3.3127,0:02:34
2021-04-04,50,1.6432,0:01:58
2021-04-03,59,1.5718,0:01:35
2021-04-02,86,3.6639,0:02:33
2021-04-01,49,6.0709,0:07:26
2021-03-31,20,0.8589,0:02:34
2021-03-30,49,5.6944,0:06:58
2021-03-29,28,5.1013,0:10:55
2021-03-28,28,1.9059,0:04:05
2021-03-27,26,3.015,0:06:57
2021-03-26,14,2.288,0:09:48
2021-03-25,42,4.619,0:06:35
2021-03-24,62,3.256,0:03:09
2021-03-23,58,2.8492,0:02:56
2021-03-22,45,3.1436,0:04:11
2021-03-21,33,2.6081,0:04:44
2021-03-20,32,2.7544,0:05:09
2021-03-19,43,3.5002,0:04:53
2021-03-18,28,1.4971,0:03:12
2021-03-17,71,5.7208,0:04:50
2021-03-16,58,5.0828,0:05:15
2021-03-15,62,3.5101,0:03:23
2021-03-14,15,1.4046,0:05:37
2021-03-13,29,2.6985,0:05:34
2021-03-12,32,2.1565,0:04:02
2021-03-11,45,5.9521,0:07:56
2021-03-10,32,2.3795,0:04:27
2021-03-09,42,2.9373,0:04:11
2021-03-08,60,5.7535,0:05:45
2021-03-07,26,4.0913,0:09:26
2021-03-06,28,3.7259,0:07:59
2021-03-05,48,5.275,0:06:35
2021-03-04,44,4.2816,0:05:50
2021-03-03,22,0.6789,0:01:51
2021-03-02,21,2.1939,0:06:16
2021-03-01,37,5.5196,0:08:57
2021-02-28,55,5.4651,0:05:57
2021-02-27,28,2.0194,0:04:19
2021-02-26,40,4.7401,0:07:06
2021-02-25,26,0.8567,0:01:58
2021-02-24,47,2.4672,0:03:08
2021-02-23,45,3.427,0:04:34
2021-02-22,46,2.5364,0:03:18
2021-02-21,31,1.9968,0:03:51
2021-02-20,33,1.6929,0:03:04
2021-02-19,93,5.2746,0:03:24
2021-02-18,29,2.6708,0:05:31
2021-02-17,43,4.2643,0:05:57
2021-02-16,52,6.2901,0:07:15
2021-02-15,40,4.9749,0:07:27
2021-02-14,35,2.009,0:03:26
2021-02-13,11,0.3288,0:01:47
2021-02-12,38,2.3307,0:03:40
2021-02-11,46,3.4943,0:04:33
2021-02-10,65,7.5421,0:06:57
2021-02-09,37,5.819,0:09:26
2021-02-08,51,4.6316,0:05:26
2021-02-07,15,1.6772,0:06:42
2021-02-06,17,1.2773,0:04:30
2021-02-05,58,2.0898,0:02:09
2021-02-04,47,5.5293,0:07:03
2021-02-03,65,4.083,0:03:46
2021-02-02,70,9.3532,0:08:01
2021-02-01,66,7.187,0:06:32
2021-01-31,28,2.2882,0:04:54
2021-01-30,25,2.22,0:05:19
2021-01-29,48,3.5034,0:04:22
2021-01-28,54,3.875,0:04:18
2021-01-27,41,3.6979,0:05:24
2021-01-26,26,4.2066,0:09:42
2021-01-25,44,3.6064,0:04:55
2021-01-24,13,1.0081,0:04:39
