Date,Playlist,Playlist title,Watch time (hours)
2020-04-05,PL4K-daRUS2A-knoIZVV5SJkEkZhqfdHVB,Topic: Basic Unix,0
2020-04-06,PL4K-daRUS2A-knoIZVV5SJkEkZhqfdHVB,Topic: Basic Unix,0
2020-04-07,PL4K-daRUS2A-knoIZVV5SJkEkZhqfdHVB,Topic: Basic Unix,0
2020-04-08,PL4K-daRUS2A-knoIZVV5SJkEkZhqfdHVB,Topic: Basic Unix,0
2020-04-09,PL4K-daRUS2A-knoIZVV5SJkEkZhqfdHVB,Topic: Basic Unix,0
2020-04-10,PL4K-daRUS2A-knoIZVV5SJkEkZhqfdHVB,Topic: Basic Unix,0
2020-04-11,PL4K-daRUS2A-knoIZVV5SJkEkZhqfdHVB,Topic: Basic Unix,0
2020-04-12,PL4K-daRUS2A-knoIZVV5SJkEkZhqfdHVB,Topic: Basic Unix,0
2020-04-13,PL4K-daRUS2A-knoIZVV5SJkEkZhqfdHVB,Topic: Basic Unix,0.1812
2020-04-14,PL4K-daRUS2A-knoIZVV5SJkEkZhqfdHVB,Topic: Basic Unix,0.0057
2020-04-15,PL4K-daRUS2A-knoIZVV5SJkEkZhqfdHVB,Topic: Basic Unix,0
2020-04-16,PL4K-daRUS2A-knoIZVV5SJkEkZhqfdHVB,Topic: Basic Unix,0.4395
2020-04-17,PL4K-daRUS2A-knoIZVV5SJkEkZhqfdHVB,Topic: Basic Unix,0.5468
2020-04-18,PL4K-daRUS2A-knoIZVV5SJkEkZhqfdHVB,Topic: Basic Unix,0
2020-04-19,PL4K-daRUS2A-knoIZVV5SJkEkZhqfdHVB,Topic: Basic Unix,0
2020-04-20,PL4K-daRUS2A-knoIZVV5SJkEkZhqfdHVB,Topic: Basic Unix,0.1559
2020-04-21,PL4K-daRUS2A-knoIZVV5SJkEkZhqfdHVB,Topic: Basic Unix,1.2305
2020-04-22,PL4K-daRUS2A-knoIZVV5SJkEkZhqfdHVB,Topic: Basic Unix,0
2020-04-23,PL4K-daRUS2A-knoIZVV5SJkEkZhqfdHVB,Topic: Basic Unix,0.1039
2020-04-24,PL4K-daRUS2A-knoIZVV5SJkEkZhqfdHVB,Topic: Basic Unix,0.0009
2020-04-25,PL4K-daRUS2A-knoIZVV5SJkEkZhqfdHVB,Topic: Basic Unix,0.2423
2020-04-26,PL4K-daRUS2A-knoIZVV5SJkEkZhqfdHVB,Topic: Basic Unix,0
2020-04-27,PL4K-daRUS2A-knoIZVV5SJkEkZhqfdHVB,Topic: Basic Unix,0
2020-04-28,PL4K-daRUS2A-knoIZVV5SJkEkZhqfdHVB,Topic: Basic Unix,0.6689
2020-04-29,PL4K-daRUS2A-knoIZVV5SJkEkZhqfdHVB,Topic: Basic Unix,0
2020-04-30,PL4K-daRUS2A-knoIZVV5SJkEkZhqfdHVB,Topic: Basic Unix,0
2020-05-01,PL4K-daRUS2A-knoIZVV5SJkEkZhqfdHVB,Topic: Basic Unix,0.0007
2020-05-02,PL4K-daRUS2A-knoIZVV5SJkEkZhqfdHVB,Topic: Basic Unix,0.4687
2020-05-03,PL4K-daRUS2A-knoIZVV5SJkEkZhqfdHVB,Topic: Basic Unix,0
2020-05-04,PL4K-daRUS2A-knoIZVV5SJkEkZhqfdHVB,Topic: Basic Unix,0
2020-05-05,PL4K-daRUS2A-knoIZVV5SJkEkZhqfdHVB,Topic: Basic Unix,0.0984
2020-05-06,PL4K-daRUS2A-knoIZVV5SJkEkZhqfdHVB,Topic: Basic Unix,0.4653
2020-05-07,PL4K-daRUS2A-knoIZVV5SJkEkZhqfdHVB,Topic: Basic Unix,0.0466
2020-05-08,PL4K-daRUS2A-knoIZVV5SJkEkZhqfdHVB,Topic: Basic Unix,0.6982
2020-05-09,PL4K-daRUS2A-knoIZVV5SJkEkZhqfdHVB,Topic: Basic Unix,0
2020-05-10,PL4K-daRUS2A-knoIZVV5SJkEkZhqfdHVB,Topic: Basic Unix,0
2020-05-11,PL4K-daRUS2A-knoIZVV5SJkEkZhqfdHVB,Topic: Basic Unix,0.28
2020-05-12,PL4K-daRUS2A-knoIZVV5SJkEkZhqfdHVB,Topic: Basic Unix,1.1442
2020-05-13,PL4K-daRUS2A-knoIZVV5SJkEkZhqfdHVB,Topic: Basic Unix,1.2352
2020-05-14,PL4K-daRUS2A-knoIZVV5SJkEkZhqfdHVB,Topic: Basic Unix,0
2020-05-15,PL4K-daRUS2A-knoIZVV5SJkEkZhqfdHVB,Topic: Basic Unix,0.0236
2020-05-16,PL4K-daRUS2A-knoIZVV5SJkEkZhqfdHVB,Topic: Basic Unix,0.009
2020-05-17,PL4K-daRUS2A-knoIZVV5SJkEkZhqfdHVB,Topic: Basic Unix,0.0005
2020-05-18,PL4K-daRUS2A-knoIZVV5SJkEkZhqfdHVB,Topic: Basic Unix,0
2020-05-19,PL4K-daRUS2A-knoIZVV5SJkEkZhqfdHVB,Topic: Basic Unix,0.4555
2020-05-20,PL4K-daRUS2A-knoIZVV5SJkEkZhqfdHVB,Topic: Basic Unix,0
2020-05-21,PL4K-daRUS2A-knoIZVV5SJkEkZhqfdHVB,Topic: Basic Unix,0
2020-05-22,PL4K-daRUS2A-knoIZVV5SJkEkZhqfdHVB,Topic: Basic Unix,0.0724
2020-05-23,PL4K-daRUS2A-knoIZVV5SJkEkZhqfdHVB,Topic: Basic Unix,0
2020-05-24,PL4K-daRUS2A-knoIZVV5SJkEkZhqfdHVB,Topic: Basic Unix,0
2020-05-25,PL4K-daRUS2A-knoIZVV5SJkEkZhqfdHVB,Topic: Basic Unix,0
2020-05-26,PL4K-daRUS2A-knoIZVV5SJkEkZhqfdHVB,Topic: Basic Unix,0
2020-05-27,PL4K-daRUS2A-knoIZVV5SJkEkZhqfdHVB,Topic: Basic Unix,0.2037
