Date,Traffic source,Watch time (hours)
2020-04-05,Direct or unknown,0
2020-04-06,Direct or unknown,0
2020-04-07,Direct or unknown,0.0084
2020-04-08,Direct or unknown,0.0227
2020-04-09,Direct or unknown,2.9834
2020-04-10,Direct or unknown,3.0657
2020-04-11,Direct or unknown,0
2020-04-12,Direct or unknown,0
2020-04-13,Direct or unknown,1.2797
2020-04-14,Direct or unknown,1.1475
2020-04-15,Direct or unknown,4.318
2020-04-16,Direct or unknown,1.7582
2020-04-17,Direct or unknown,2.7384
2020-04-18,Direct or unknown,0.0137
2020-04-19,Direct or unknown,0.0827
2020-04-20,Direct or unknown,3.622
2020-04-21,Direct or unknown,3.7965
2020-04-22,Direct or unknown,1.8984
2020-04-23,Direct or unknown,1.9415
2020-04-24,Direct or unknown,1.7011
2020-04-25,Direct or unknown,0.0167
2020-04-26,Direct or unknown,0.3302
2020-04-27,Direct or unknown,1.378
2020-04-28,Direct or unknown,1.0394
2020-04-29,Direct or unknown,0.519
2020-04-30,Direct or unknown,0.0118
2020-05-01,Direct or unknown,0.2118
2020-05-02,Direct or unknown,0.863
2020-05-03,Direct or unknown,0.2648
2020-05-04,Direct or unknown,0.4762
2020-05-05,Direct or unknown,0.059
2020-05-06,Direct or unknown,1.2149
2020-05-07,Direct or unknown,0.182
2020-05-08,Direct or unknown,0.8389
2020-05-09,Direct or unknown,0.3082
2020-05-10,Direct or unknown,0.6077
2020-05-11,Direct or unknown,0.637
2020-05-12,Direct or unknown,1.8695
2020-05-13,Direct or unknown,1.5534
2020-05-14,Direct or unknown,0.0286
2020-05-15,Direct or unknown,0.4363
2020-05-16,Direct or unknown,0
2020-05-17,Direct or unknown,0.3676
2020-05-18,Direct or unknown,2.2255
2020-05-19,Direct or unknown,0.0587
2020-05-20,Direct or unknown,1.675
2020-05-21,Direct or unknown,1.8744
2020-05-22,Direct or unknown,0.6855
2020-05-23,Direct or unknown,0.0023
2020-05-24,Direct or unknown,0.0417
2020-05-25,Direct or unknown,0.2161
2020-05-26,Direct or unknown,0.4174
2020-05-27,Direct or unknown,0.5593
2020-05-28,Direct or unknown,1.1913
2020-05-29,Direct or unknown,0.5729
2020-05-30,Direct or unknown,0.0064
2020-05-31,Direct or unknown,0.0006
2020-06-01,Direct or unknown,1.598
2020-06-02,Direct or unknown,1.4739
2020-06-03,Direct or unknown,0.7855
2020-06-04,Direct or unknown,1.3947
2020-06-05,Direct or unknown,0.049
2020-06-06,Direct or unknown,0.1243
2020-06-07,Direct or unknown,1.632
2020-06-08,Direct or unknown,0.0662
2020-06-09,Direct or unknown,0.0449
2020-06-10,Direct or unknown,0.6173
2020-06-11,Direct or unknown,0.2731
2020-06-12,Direct or unknown,0.1092
2020-06-13,Direct or unknown,0.1394
2020-06-14,Direct or unknown,0.0169
