Traffic source,Views,Watch time (hours),Average view duration,Impressions,Impressions click-through rate (%)
Total,18152,1793.5835,0:05:55,214538,3.59
External,3643,390.4084,0:06:25,,
Playlists,2745,359.3857,0:07:51,27238,7.34
Channel pages,3505,242.9604,0:04:09,78056,2.31
YouTube search,3123,228.6321,0:04:23,70285,3.6
Suggested videos,1496,176.4497,0:07:04,18874,2.97
Direct or unknown,1375,139.9076,0:06:06,,
Other YouTube features,922,118.5087,0:07:42,,
Playlist page,601,60.5968,0:06:02,6732,7.92
Browse features,520,39.1784,0:04:31,13353,2.04
End screens,132,32.7594,0:14:53,,
Notifications,90,4.7964,0:03:11,,
