Video,Video title,Video publish time,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
Total,,,18152,1793.5835,551,214538,3.59
1v4UzjE7K2g,Topic: Functional Annotation Lesson 6 - KEGG,"May 23, 2020",837,59.5115,13,10070,3.69
EkmuvRQ2tWw,Topic: Metagenomics Lesson 1,"Apr 15, 2020",753,59.7744,15,5032,4.11
kicRl5UNE64,Topic: R Lesson1,"Apr 6, 2020",610,25.2774,6,1993,7.58
2kvdLbbKcJc,Topic: Amplicons - Lesson3a Running DADA2 within QIIME2,"May 25, 2020",592,66.5597,11,7059,4.33
stjJHfQ51sA,Topic: Population Genetics Lesson 1 Tutorial - Introduction to PAML,"May 12, 2020",576,46.0044,6,7752,4.45
NzHc8HFEtlw,Topic: Amplicons Lesson 3b - RStudio + DADA2 (using DECIPHER for taxonomic classification),"Jun 8, 2020",574,54.9889,7,6645,4.44
FuQJpf31kHE,Welcome to the BVCN!,"Apr 7, 2020",560,10.6435,23,4051,5.78
7jRTyfdIXLo,Topic: Metagenomics Lesson 1 Demo 1.1,"Apr 15, 2020",484,51.2071,10,3377,5.39
uGjjN-q7N2E,Topic: Functional Annotation Lesson 1,"Apr 9, 2020",476,33.2322,7,1967,7.37
XDdmSb2BvqY,Topic: Amplicons Lesson 1,"Apr 11, 2020",473,37.3451,11,2962,4.46
LFaxL66gL98,Topic: Basic Unix Lesson 1,"Apr 11, 2020",441,57.0846,10,1738,4.43
egkCswqQMWM,Topic: Amplicons Lesson 2,"Apr 15, 2020",399,66.3861,2,2554,4.54
GMIFF81Or4E,Topic: Functional Annotation Lesson 7  Predicting Secondary Metabolites with AntiSMASH,"Aug 4, 2020",378,35.3546,13,4596,4.26
3n0ncYz5TlM,Topic: Transcriptomics Lesson 3 Tutorial htseq-count demonstration,"Jun 15, 2020",370,22.9632,16,3740,5.53
MpScSM_d3Vo,Topic: Metagenomics Lesson 2,"Apr 18, 2020",360,58.7631,2,3547,3.89
g4T1xwO9yvI,Topic: Metagenomics Lesson 6 - Binning Metagenome-assembled genomes,"Jun 6, 2020",356,41.5699,10,4213,4.91
HqPiWvjIrew,Topic: Metagenomics Lesson 2 Demo 2.1,"Apr 18, 2020",348,55.3354,3,2850,4.91
u6vgWyD351g,Topic: R Lesson 1 Hands-on tutorial,"Apr 8, 2020",316,62.8154,5,1505,10.37
7A5IgfZd0rM,Topic: Transcpritomics Lesson 3 - Read counts with htseq-count,"Jun 15, 2020",273,17.9854,2,3453,3.71
